,video fn,first,last,gesture,consistency,,
75,P016_tissue1,2391,2420,G3,1,,29
76,P016_tissue1,2445,2474,G4,1,,29
77,P016_tissue1,2475,2504,G4,1,,29
78,P016_tissue1,2505,2534,G4,1,,29
79,P016_tissue1,2535,2564,G4,1,,29
80,P016_tissue1,2565,2594,G4,1,,29
81,P016_tissue1,2619,2648,G3,1,,29
82,P016_tissue1,2658,2687,G4,1,,29
83,P016_tissue1,2688,2717,G4,1,,29
84,P016_tissue1,2718,2747,G4,1,,29
85,P016_tissue1,2748,2777,G4,1,,29
86,P016_tissue1,2790,2819,G3,1,,29
87,P016_tissue1,2820,2849,G3,1,,29
88,P016_tissue1,2871,2900,G4,1,,29
89,P016_tissue1,2901,2930,G4,1,,29
90,P016_tissue1,2931,2960,G4,1,,29
91,P016_tissue1,2961,2990,G4,1,,29
92,P016_tissue1,2997,3026,G0,1,,29
93,P016_tissue1,3027,3056,G0,1,,29
94,P016_tissue1,3063,3092,G5,1,,29
95,P016_tissue1,3114,3143,G0,1,,29
96,P016_tissue1,3144,3173,G0,1,,29
97,P016_tissue1,3174,3203,G0,1,,29
98,P016_tissue1,3204,3233,G0,1,,29
99,P016_tissue1,3234,3263,G0,1,,29
100,P016_tissue1,3264,3293,G0,1,,29
101,P016_tissue1,3294,3323,G0,1,,29
102,P016_tissue1,3324,3353,G0,1,,29
103,P016_tissue1,3354,3383,G0,1,,29
104,P016_tissue1,3384,3413,G0,1,,29
105,P016_tissue1,3414,3443,G0,1,,29
106,P016_tissue1,3444,3473,G0,1,,29
107,P016_tissue1,3501,3530,G1,1,,29
108,P016_tissue1,3531,3560,G1,1,,29
109,P016_tissue1,3561,3590,G1,1,,29
110,P016_tissue1,3591,3620,G1,1,,29
111,P016_tissue1,3621,3650,G1,1,,29
112,P016_tissue1,3651,3680,G1,1,,29
113,P016_tissue1,3681,3710,G1,1,,29
114,P016_tissue1,3732,3761,G2,1,,29
115,P016_tissue1,3762,3791,G2,1,,29
116,P016_tissue1,3792,3821,G2,1,,29
117,P016_tissue1,3822,3851,G2,1,,29
118,P016_tissue1,3852,3881,G2,1,,29
119,P016_tissue1,3891,3920,G0,1,,29
120,P016_tissue1,3921,3950,G0,1,,29
121,P016_tissue1,3951,3980,G0,1,,29
122,P016_tissue1,3981,4010,G0,1,,29
123,P016_tissue1,4011,4040,G0,1,,29
124,P016_tissue1,4056,4085,G1,1,,29
125,P016_tissue1,4086,4115,G1,1,,29
126,P016_tissue1,4116,4145,G1,1,,29
127,P016_tissue1,4146,4175,G1,1,,29
128,P016_tissue1,4176,4205,G1,1,,29
129,P016_tissue1,4206,4235,G1,1,,29
130,P016_tissue1,4248,4277,G2,1,,29
131,P016_tissue1,4278,4307,G2,1,,29
132,P016_tissue1,4308,4337,G2,1,,29
133,P016_tissue1,4338,4367,G2,1,,29
134,P016_tissue1,4386,4415,G3,1,,29
135,P016_tissue1,4416,4445,G3,1,,29
136,P016_tissue1,4446,4475,G3,1,,29
137,P016_tissue1,4476,4505,G3,1,,29
138,P016_tissue1,4533,4562,G4,1,,29
139,P016_tissue1,4563,4592,G4,1,,29
140,P016_tissue1,4593,4622,G4,1,,29
141,P016_tissue1,4650,4679,G3,1,,29
142,P016_tissue1,4680,4709,G3,1,,29
143,P016_tissue1,4725,4754,G4,1,,29
144,P016_tissue1,4755,4784,G4,1,,29
145,P016_tissue1,4797,4826,G3,1,,29
146,P016_tissue1,4827,4856,G3,1,,29
147,P016_tissue1,4869,4898,G4,1,,29
148,P016_tissue1,4899,4928,G4,1,,29
149,P016_tissue1,4938,4967,G3,1,,29
150,P016_tissue1,4968,4997,G3,1,,29
151,P016_tissue1,4998,5027,G3,1,,29
152,P016_tissue1,5028,5057,G3,1,,29
153,P016_tissue1,5058,5087,G4,1,,29
154,P016_tissue1,5088,5117,G4,1,,29
155,P016_tissue1,5133,5162,G0,1,,29
156,P016_tissue1,5184,5213,G5,1,,29
157,P016_tissue1,5214,5243,G5,1,,29
158,P016_tissue1,5244,5273,G5,1,,29
159,P016_tissue1,5274,5303,G0,1,,29
160,P016_tissue1,5304,5333,G0,1,,29
161,P016_tissue1,5334,5363,G0,1,,29
162,P016_tissue1,5364,5393,G0,1,,29
163,P016_tissue1,5394,5423,G0,1,,29
164,P016_tissue1,5424,5453,G0,1,,29
165,P016_tissue1,5454,5483,G0,1,,29
166,P016_tissue1,5484,5513,G0,1,,29
167,P016_tissue1,5514,5543,G0,1,,29
168,P016_tissue1,5544,5573,G0,1,,29
169,P016_tissue1,5574,5603,G0,1,,29
170,P016_tissue1,5604,5633,G0,1,,29
171,P016_tissue1,5634,5663,G0,1,,29
172,P016_tissue1,5664,5693,G0,1,,29
173,P016_tissue1,5700,5729,G1,1,,29
174,P016_tissue1,5730,5759,G1,1,,29
175,P016_tissue1,5760,5789,G1,1,,29
176,P016_tissue1,5790,5819,G1,1,,29
177,P016_tissue1,5820,5849,G1,1,,29
178,P016_tissue1,5850,5879,G2,1,,29
179,P016_tissue1,5880,5909,G2,1,,29
180,P016_tissue1,5922,5951,G3,1,,29
181,P016_tissue1,5952,5981,G3,1,,29
182,P016_tissue1,5982,6011,G3,1,,29
183,P016_tissue1,6012,6041,G3,1,,29
184,P016_tissue1,6057,6086,G4,1,,29
185,P016_tissue1,6087,6116,G4,1,,29
186,P016_tissue1,6117,6146,G4,1,,29
187,P016_tissue1,6147,6176,G4,1,,29
188,P016_tissue1,6177,6206,G4,1,,29
189,P016_tissue1,6207,6236,G3,1,,29
190,P016_tissue1,6237,6266,G3,1,,29
191,P016_tissue1,6279,6308,G4,1,,29
192,P016_tissue1,6336,6365,G3,1,,29
193,P016_tissue1,6375,6404,G4,1,,29
194,P016_tissue1,6405,6434,G4,1,,29
195,P016_tissue1,6435,6464,G3,1,,29
196,P016_tissue1,6486,6515,G4,1,,29
197,P016_tissue1,6516,6545,G4,1,,29
198,P016_tissue1,6546,6575,G4,1,,29
199,P016_tissue1,6576,6605,G0,1,,29
200,P016_tissue1,6657,6686,G0,1,,29
201,P016_tissue1,6687,6716,G0,1,,29
0,P016_tissue2,0,29,G0,1,,29
1,P016_tissue2,30,59,G0,1,,29
2,P016_tissue2,60,89,G0,1,,29
3,P016_tissue2,90,119,G0,1,,29
4,P016_tissue2,120,149,G0,1,,29
5,P016_tissue2,150,179,G0,1,,29
6,P016_tissue2,180,209,G0,1,,29
7,P016_tissue2,210,239,G0,1,,29
8,P016_tissue2,240,269,G0,1,,29
9,P016_tissue2,270,299,G0,1,,29
10,P016_tissue2,300,329,G0,1,,29
11,P016_tissue2,330,359,G0,1,,29
12,P016_tissue2,360,389,G0,1,,29
13,P016_tissue2,390,419,G0,1,,29
14,P016_tissue2,420,449,G0,1,,29
15,P016_tissue2,450,479,G0,1,,29
16,P016_tissue2,480,509,G0,1,,29
17,P016_tissue2,510,539,G0,1,,29
18,P016_tissue2,540,569,G0,1,,29
19,P016_tissue2,570,599,G0,1,,29
20,P016_tissue2,600,629,G0,1,,29
21,P016_tissue2,630,659,G0,1,,29
22,P016_tissue2,660,689,G0,1,,29
23,P016_tissue2,690,719,G0,1,,29
24,P016_tissue2,720,749,G0,1,,29
25,P016_tissue2,765,794,G1,1,,29
26,P016_tissue2,795,824,G1,1,,29
27,P016_tissue2,825,854,G1,1,,29
28,P016_tissue2,855,884,G1,1,,29
29,P016_tissue2,885,914,G1,1,,29
30,P016_tissue2,915,944,G1,1,,29
31,P016_tissue2,945,974,G1,1,,29
32,P016_tissue2,1002,1031,G2,1,,29
33,P016_tissue2,1032,1061,G2,1,,29
34,P016_tissue2,1062,1091,G2,1,,29
35,P016_tissue2,1092,1121,G2,1,,29
36,P016_tissue2,1122,1151,G2,1,,29
37,P016_tissue2,1152,1181,G2,1,,29
38,P016_tissue2,1182,1211,G2,1,,29
39,P016_tissue2,1224,1253,G3,1,,29
40,P016_tissue2,1254,1283,G3,1,,29
41,P016_tissue2,1284,1313,G3,1,,29
42,P016_tissue2,1332,1361,G4,1,,29
43,P016_tissue2,1362,1391,G4,1,,29
44,P016_tissue2,1392,1421,G4,1,,29
45,P016_tissue2,1422,1451,G4,1,,29
46,P016_tissue2,1461,1490,G3,1,,29
47,P016_tissue2,1491,1520,G3,1,,29
48,P016_tissue2,1521,1550,G3,1,,29
49,P016_tissue2,1551,1580,G3,1,,29
50,P016_tissue2,1595,1624,G4,1,,29
51,P016_tissue2,1625,1654,G4,1,,29
52,P016_tissue2,1655,1684,G4,1,,29
53,P016_tissue2,1685,1714,G4,1,,29
54,P016_tissue2,1730,1759,G3,1,,29
55,P016_tissue2,1781,1810,G4,1,,29
56,P016_tissue2,1811,1840,G4,1,,29
57,P016_tissue2,1859,1888,G3,1,,29
58,P016_tissue2,1889,1918,G3,1,,29
59,P016_tissue2,1919,1948,G3,1,,29
60,P016_tissue2,1949,1978,G3,1,,29
61,P016_tissue2,1979,2008,G4,1,,29
62,P016_tissue2,2009,2038,G4,1,,29
63,P016_tissue2,2039,2068,G4,1,,29
64,P016_tissue2,2069,2098,G4,1,,29
65,P016_tissue2,2099,2128,G4,1,,29
66,P016_tissue2,2129,2158,G4,1,,29
67,P016_tissue2,2159,2188,G4,1,,29
68,P016_tissue2,2189,2218,G4,1,,29
69,P016_tissue2,2219,2248,G4,1,,29
70,P016_tissue2,2276,2305,G0,1,,29
71,P016_tissue2,2306,2335,G0,1,,29
72,P016_tissue2,2336,2365,G0,1,,29
73,P016_tissue2,2372,2401,G5,1,,29
74,P016_tissue2,2414,2443,G0,1,,29
75,P016_tissue2,2444,2473,G0,1,,29
76,P016_tissue2,2474,2503,G0,1,,29
77,P016_tissue2,2504,2533,G0,1,,29
78,P016_tissue2,2534,2563,G0,1,,29
79,P016_tissue2,2564,2593,G0,1,,29
80,P016_tissue2,2594,2623,G0,1,,29
81,P016_tissue2,2627,2656,G1,1,,29
82,P016_tissue2,2657,2686,G1,1,,29
83,P016_tissue2,2687,2716,G1,1,,29
84,P016_tissue2,2717,2746,G1,1,,29
85,P016_tissue2,2747,2776,G1,1,,29
86,P016_tissue2,2777,2806,G1,1,,29
87,P016_tissue2,2807,2836,G1,1,,29
88,P016_tissue2,2855,2884,G2,1,,29
89,P016_tissue2,2885,2914,G2,1,,29
90,P016_tissue2,2915,2944,G2,1,,29
91,P016_tissue2,2945,2974,G2,1,,29
92,P016_tissue2,2975,3004,G2,1,,29
93,P016_tissue2,3005,3034,G2,1,,29
94,P016_tissue2,3035,3064,G2,1,,29
95,P016_tissue2,3067,3096,G3,1,,29
96,P016_tissue2,3097,3126,G3,1,,29
97,P016_tissue2,3127,3156,G3,1,,29
98,P016_tissue2,3157,3186,G3,1,,29
99,P016_tissue2,3193,3222,G4,1,,29
100,P016_tissue2,3223,3252,G4,1,,29
101,P016_tissue2,3253,3282,G4,1,,29
102,P016_tissue2,3283,3312,G4,1,,29
103,P016_tissue2,3316,3345,G3,1,,29
104,P016_tissue2,3388,3417,G3,1,,29
105,P016_tissue2,3418,3447,G3,1,,29
106,P016_tissue2,3469,3498,G4,1,,29
107,P016_tissue2,3499,3528,G4,1,,29
108,P016_tissue2,3529,3558,G4,1,,29
109,P016_tissue2,3559,3588,G4,1,,29
110,P016_tissue2,3589,3618,G4,1,,29
111,P016_tissue2,3631,3660,G3,1,,29
112,P016_tissue2,3661,3690,G3,1,,29
113,P016_tissue2,3703,3732,G4,1,,29
114,P016_tissue2,3733,3762,G4,1,,29
115,P016_tissue2,3763,3792,G4,1,,29
116,P016_tissue2,3793,3822,G4,1,,29
117,P016_tissue2,3841,3870,G3,1,,29
118,P016_tissue2,3871,3900,G3,1,,29
119,P016_tissue2,3901,3930,G3,1,,29
120,P016_tissue2,3931,3960,G3,1,,29
121,P016_tissue2,3961,3990,G4,1,,29
122,P016_tissue2,3991,4020,G4,1,,29
123,P016_tissue2,4021,4050,G4,1,,29
124,P016_tissue2,4054,4083,G0,1,,29
125,P016_tissue2,4084,4113,G0,1,,29
126,P016_tissue2,4120,4149,G5,1,,29
127,P016_tissue2,4156,4185,G0,1,,29
128,P016_tissue2,4186,4215,G0,1,,29
129,P016_tissue2,4216,4245,G0,1,,29
130,P016_tissue2,4246,4275,G0,1,,29
131,P016_tissue2,4276,4305,G0,1,,29
132,P016_tissue2,4306,4335,G0,1,,29
133,P016_tissue2,4336,4365,G0,1,,29
134,P016_tissue2,4366,4395,G0,1,,29
135,P016_tissue2,4402,4431,G1,1,,29
136,P016_tissue2,4432,4461,G1,1,,29
137,P016_tissue2,4462,4491,G1,1,,29
138,P016_tissue2,4492,4521,G1,1,,29
139,P016_tissue2,4522,4551,G1,1,,29
140,P016_tissue2,4552,4581,G1,1,,29
141,P016_tissue2,4585,4614,G2,1,,29
142,P016_tissue2,4638,4667,G3,1,,29
143,P016_tissue2,4701,4730,G3,1,,29
144,P016_tissue2,4731,4760,G3,1,,29
145,P016_tissue2,4761,4790,G3,1,,29
146,P016_tissue2,4791,4820,G3,1,,29
147,P016_tissue2,4836,4865,G4,1,,29
148,P016_tissue2,4866,4895,G4,1,,29
149,P016_tissue2,4896,4925,G4,1,,29
150,P016_tissue2,4926,4955,G4,1,,29
151,P016_tissue2,4974,5003,G3,1,,29
152,P016_tissue2,5004,5033,G3,1,,29
153,P016_tissue2,5037,5066,G4,1,,29
